Channel bandwidth of the lowest/highest carrier received [MHz],Interfering signal centre frequency offset from the lower/upper Base Station RF Bandwidth edge [MHz],Type of interfering signal
0.2,±7.575,CW
,±17.5,5 MHz E-UTRA signal
