E-UTRAchannel bandwidth [MHz],Reference measurement channel,Wanted signal mean power [dBm],Interfering signal mean power [dBm] / BWConfig,Type of interfering signal
1.4,FRC A2-1 in Annex A.2,-31.8,-44.2,AWGN
3,FRC A2-2 in Annex A.2,-27.9,-40.2,AWGN
5,FRC A2-3 in Annex A.2,-25.7,-38,AWGN
10,FRC A2-3 in Annex A.2*,-25.7,-35,AWGN
15,FRC A2-3 in Annex A.2*,-25.7,-33.2,AWGN
20,FRC A2-3 in Annex A.2*,-25.7,-31.9,AWGN
Note*:The wanted signal mean power is the power level of a single instance of the reference measurement channel. This requirement shall be met for each consecutive application of a single instance of FRC A2-3 mapped to disjoint frequency ranges with a width of 25 resource blocks each.,,,,
