Number of TX antennas (Note 1),Number of RX antennas (Note 1),Propagation conditions and correlation matrix (Annex B) (Note 2),,DIP set,Relative power of intra-cell UEs,FRC(Annex A),,Fraction of  maximum sum throughput of all the intra-cell UEs,UE1's SINR [dB] (Note 3)
,,Wanted intra-cell UEs,Inter-cell interfering UE,,,"UE1, UE3","UE2, UE4",,
1,2,EPA 5 Low,ETU 5 Low,Set 2,Set 1,A22--4,A22--4,80%,16.2
,,EVA 70 Low,ETU 70 Low,Set 1*,Set 2,A13-4,A13-4,80%,10.5
,4,EVA 70 Low,ETU 70 Low,Set 1*,Set 1,A13-4,A13-4,80%,10.0
,,EPA 5 Low,ETU 5 Low,Set 2,Set 2,A21--4,A13-4,80%,0.2
Note*:Not applicable for Local Area BS and Home BS.,,,,,,,,,
Note 1:Antenna configuration applies for each of the intra-cell and inter-cell UEs.Note 2:The propagation conditions for the intra-cell and inter-cell UEs are statistically independent.Note 3:SINR corresponds to  of UE1 as defined in clause 8.1.,,,,,,,,,
