Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of  maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A24-4,70%,12.4
,4,Normal,EPA 5Hz Low,A24-4,70%,9.1
