E-UTRAchannel bandwidth (MHz),Reference measurement channel,Wanted signal mean power [dBm],Interfering signal mean power [dBm],Type of interfering signal
1.4,A1-4 in Annex A.1,-106.9,-87,"1.4 MHz E-UTRA signal, 3 RBs"
3,A1-5 in Annex A.1,-102.1,-84,"3 MHz E-UTRA signal, 6 RBs"
5,A1-2 in Annex A.1,-100.0,-81,"5 MHz E-UTRA signal, 10 RBs"
10,A1-3 in Annex A.1,-98.5,-77,"10 MHz E-UTRA signal, 25 RBs"
15,A1-3 in Annex A.1 (Note),-98.5,-77,"15 MHz E-UTRA signal, 25 RBs (Note)"
20,A1-3 in Annex A.1 (Note),-98.5,-77,"20 MHz E-UTRA signal, 25 RBs (Note)"
Note:Wanted and interfering signal are placed adjacently around Fc,,,,
