NB-IoTchannel bandwidth [kHz],Reference measurement channel,Wanted signal mean power [dBm],Interfering signal mean power [dBm] / BWChannel,Type of interfering signal
200,FRC A15-1 in Annex A.15,-91.7,-88,AWGN
200,FRC A15-2 in Annex A.15,-97.6,-88,AWGN
