Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditions andcorrelation matrix (Annex B),Repetitions,Channel Bandwidth / SNR [dB],,,,
,,,,,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
1,2,normal,EVA5 Low,4,-4.1,-5.0,-5.1,-4.9,-4.7
,,,,8,-9.8,-10.3,-10.0,-10.1,-10.0
,,,,32,-13.7,-14.1,-13.8,-14.0,-13.9
"Note 1:Frequency Hopping Intervals: 4 (FDD); 10 (TDD)Note 2:Guard period shall be created according to TS36.211, 5.2.5 [12]",,,,,,,,,
