"Filter centre frequency, Ffilter",Declared emission level [dBm],Measurement bandwidth
1518.5 MHz ≤ Ffilter ≤ 1519.5 MHz,"PEM,B50,B74,B75,a",1 MHz
1520.5 MHz ≤ Ffilter ≤ 1558.5 MHz,"PEM,B50,B74,B75,b",1 MHz
