Input Conditions,"Output power, Pout"
Ioh (DL) > CRS Ês + 10log10() + 30 dB andOption 1: CRS Ês ≥  -127 dBm orOption 2: CRS Ês ≥ -127 dBm and Iob > -103 dBm,≤ 10 dBm
Ioh (DL) ≤ CRS Ês + 10log10() + 30 dB andOption 1: CRS Ês ≥ -127 dBm orOption 2. CRS Ês ≥ -127 dBm and Iob > -103 dBm,"≤ max (Pmin, min (Pmax,c CRS Ês + 10log10() + X ))30 dB ≤ X ≤ 70 dBPmin =  - 10 dBm"
