Frequency range,Maximum level,Measurement Bandwidth,Note
30MHz  1 GHz,-57 dBm,100 kHz,
1 GHz – 12.75 GHz,-47 dBm,1 MHz,
12.75 GHz  5th harmonic of the upper  frequency edge of the UL operating band in GHz,-47 dBm,1 MHz,"Applies only for Bands 22, 42, 43, 48 or 49."
12.75 GHz  26 GHz,-47 dBm,1 MHz,Applies only for Band 46
"NOTE:The frequency range between 2.5 * BWChannel below the first carrier frequency and 2.5 * BWChannel above the last carrier frequency transmitted by the BS, where BWChannel is the channel bandwidth according to Table 5.61, may be excluded from the requirement. However, frequencies that are more than 10 MHz below the lowest frequency of any of the BS supported downlink operating band or more than 10 MHz above the highest frequency of any of the BS supported downlink operating band shall not be excluded from the requirement. For BS capable of multiband operation, the exclusion applies for all supported operating bands. For BS capable of multi-band operation where multiple bands are mapped on separate antenna connectors, the single-band requirements apply and the excluded frequency range is only applicable for the operating band supported on each antenna connector.",,,
