NB-IoT,Standalone,In-band,Guard Band
Channel bandwidth BWChannel [kHz],200,E-UTRA channel bandwidth in Table 5.6-1 for BWChannel>1.4MHz,E-UTRA channel bandwidth in Table 5.6-1 for BWChannel >3MHz
Transmission bandwidth configuration NRB,1,1,1
Transmission bandwidth configuration Ntone 15kHz,12,12,12
Transmission bandwidth configuration Ntone 3.75kHz,48,48,48
