Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditions andcorrelation matrix (Annex B),Channel Bandwidth / SNR [dB],,,
,,,,5 MHz,10 MHz,15 MHz,20 MHz
1,2,Normal,EPA 5 Low,3.7,3.6,3.8,3.8
,4,Normal,EPA 5 Low,-0.1,-0.2,-0.1,-0.1
