Parameter,Value
Maximum number of HARQ transmissions,4
RV sequence,"0, 2, 3, 1, 0, 2, 3, 1"
Uplink-downlink allocation for TDD,Configuration 1 (2:2)
Subframes in which PUSCH is transmitted,For FDD:subframe #0 and #8 in radio frames for which SFN mod 4 = 0subframe #6 in radio frames for which SFN mod 4 = 1subframe #4 in radio frames for which SFN mod 4 = 2subframe #2 in radio frames for which SFN mod 4 = 3For TDD:subframe #2 in each radio frame
"Subframes in which PUCCH is transmitted (Note 1, Note 2)",For FDD:subframe #5 in radio framesFor TDD:subframe #3 in each radio frame
"Note 1:The configuration of PUCCH (format 2) is optional.Note 2:The SNR values per antenna shall be set to -4.5 dB and -1.5 dB for Scenario 1 and 3, respectively.",
