Parameter,Value
Wanted signal,E-UTRA single carrier (NOTE)
Interfering signal type,E-UTRA signal of the same channel bandwidth as the wanted signal
Interfering signal level,Rated total output power in the operating band – 30 dB
Interfering signal centre frequency offset from the lower/upper carrier centre  frequency of the wanted signal,± BWChannel± 2 x BWChannel
NOTE:This requirement applies for 10 or 20 MHz E-UTRA carriers allocated within 2545-2645 MHz.,
