Reference channel,A13-1,A13-2,A13-3,A13-4,A13-5,A13-6
Allocated resource blocks,6,15,25,50,75,100
DFT-OFDM Symbols per subframe,12,12,12,12,12,12
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate,0.51,0. 50,0.50,0.49,0.50,0.49
MCS index,15,15,15,15,15,15
Payload size (bits),1736,4264,7224,14112,21384,28336
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,0,24,24,24,24
Number of code blocks - C,1,1,2,3,4,5
Coded block size including 12bits trellis termination (bits),5292,12876,10956,14220,16140,17100
Total number of bits per sub-frame,3456,8640,14400,28800,43200,57600
Total symbols per sub-frame,864,2160,3600,7200,10800,14400
