UE SL-C-RX Category,Maximum number of SL-SCH transport block bits received within a TTI,Maximum number of bits of a SL-SCH transport block received within a TTI,Total number of soft channel bits
SL-C-RX Category 1,25456,25456,
SL-C-RX Category 2,31704,31704,737280
SL-C-RX Category 3,48936,48936,995328
SL-C-RX Category 4,73488,48936,1492992
