UE Category,Half-duplex FDD operation type
Category 1,Type A
Category 2,Type A
Category 3,Type A
Category 4,Type A
Category 5,Type A
Category 6,Type A
Category 7,Type A
Category 8,Type A
Category 9,Type A
Category 10,Type A
Category 11,Type A
Category 12,Type A
