UE SL-C-TX Category,Maximum number of SL-SCH transport block bits transmitted within a TTI,Maximum number of bits of a SL-SCH transport block transmitted within a TTI,Maximum number of supported layers for spatial multiplexing in SL-C-TX
SL-C-TX Category 1,25456,25456,1
SL-C-TX Category 2,31704,31704,1
SL-C-TX Category 3,49272,32856,1
SL-C-TX Category 4,48936,48936,1
SL-C-TX Category 5,73488,48936,1
