UE Category,Maximum number of UL-SCH transport block bits transmitted within a TTI,Maximum number of bits of an UL-SCH transport block transmitted within a TTI,Support for 64QAM in UL
Category 1,5160,5160,No
Category 2,25456,25456,No
Category 3,51024,51024,No
Category 4,51024,51024,No
Category 5,75376,75376,Yes
Category 6,51024,51024,No
Category 7,102048,51024,No
Category 8,1497760,149776,Yes
Category 9,51024,51024,No
Category 10,102048,51024,No
Category 11,51024,51024,No
Category 12,102048,51024,No
