UE DL Category,Half-duplex FDD operation type
DL Category M1,Type B
DL Category M2,Type B
DL Category 0,Type B
DL Category 1bis,Type A
DL Category 4,Type A
DL Category 6,Type A
DL Category 7,Type A
DL Category 9,Type A
DL Category 10,Type A
DL Category 11,Type A
DL Category 12,Type A
DL Category 13,Type A
DL Category 14,Type A
DL Category 15,Type A
DL Category 16,Type A
DL Category 17,Type A
DL Category 18,Type A
DL Category 19,Type A
DL Category 20,Type A
DL Category 21,Type A
