UE Category / ue-CategoryDL,Maximum number of PDCP SDUs per TTI
Category 1,10
Category 1bis,10
Category 2,10
Category 3,20
Category 4 /DL Category 4,30
Category 5,50
Category 6 /DL Category 6,50
Category 7 /DL Category 7,50
Category 9 /DL Category 9,80
Category 10 /DL Category 10,80
Category 11 /DL Category 11,100
Category 12 /DL Category 12,100
DL Category 13,65
DL Category 15,130
DL Category 16,180
DL Category 18,200
DL Category 19,280
DL Category 20,360
DL Category 21,240
DL Category 22,430
DL Category 23,480
DL Category 24,510
DL Category 25,560
DL Category 26,600
