Parameter,Unit,Value,,,,,,,,
Channel bandwidth,MHz,"5, 10, 15, 20 (NOTE 5)",5,10,15,20,25,30,40,50
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15,15
Subcarrier spacing configuration,,0,0,0,0,0,0,0,0,0
Allocated resource blocks,,15,25,52,79,106,133,160,216,270
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,4,4,4,4,4,4,4,4,4
MCS Index,,23,23,23,23,23,23,23,23,23
MCS table for TBS determination,,256QAM,,,,,,,,
Modulation,,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM
Target Coding Rate,,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,9992,16896,34816,53288,71688,90176,108552,143400,180376
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,
"For Slots 0,1,3,4,8,9",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",CBs,2,3,5,7,9,12,14,18,23
Binary Channel Bits per Slot,,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,12960,21600,44928,68256,91584,114912,138240,186624,233280
Max. Throughput averaged over 1 frame,Mbps,3.997,6.758,13.926,21.315,28.675,36.070,43.421,57.360,72.150
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5:Channel bandwidths in this column only apply to UEs supporting IE supportOfERedCap-r18.",,,,,,,,,,
