Parameter,Unit,Value,,,,
Channel bandwidth,MHz,53,10,20,30,40
Subcarrier spacing,kHz,15,15,15,15,15
Subchannel size,,12,10,15,10,12
Allocated resource blocks,,24,50,105,160,216
MCS Index,,24,24,24,24,24
MCS Table for TBS determination,64QAM,,,,,
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM
Transport Block Size,,11528,27144,60456,92200,127080
Transport block CRC,Bits,24,24,24,24,24
LDPC base graph,,1,1,1,1,1
Number of Code Blocks per Slot,,2,4,8,11,16
Beta offset for 2nd stage SCI,,6.25,6.25,6.25,6.25,6.25
value when  2nd stage SCI rate matchγ,,7,1,1,1,1
Binary Channel Bits per Slot,,15336,35964,79524,123084,167436
Max. Throughput averaged over 100ms,Mbps,1.1528,2.7144,6.0456,9.22,12.708
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2: is the number of vacant resource elements in the resource block to which the last coded symbol of the 2nd-stage SCI belongs.NOTE 3:The CBW is only applicable for PS UE in n14.γ",,,,,,
