E-UTRA band,Parameter,Unit,Case 1,Case 2
,PInterferer,dBm,-50,-44
,FInterferer (offset),MHz,"=-BW/2 – FIoffset,case 1&=+BW/2 + FIoffset,case 1","≤-BW/2 – FIoffset,case 2&≥+BW/2 + FIoffset,case 2"
"46, 49",FInterferer,MHz,(Note 2),FDL_low – 60toFDL_high + 60
"NOTE 1:For certain bands, the unwanted modulated interfering signal may not fall inside the UE receive band, but within the first 15 MHz or 60 MHz below or above the UE receive bandNOTE 2:For each carrier frequency the requirement is valid for two frequencies:a. the carrier frequency -BW/2 - FIoffset, case 1 andb. the carrier frequency +BW/2 + FIoffset, case 1NOTE 3:FInterferer range values for unwanted modulated interfering signal are interferer center frequencies",,,,
