Frequency band(MHz),Channel bandwidth / Spectrum emission limit (dBm),Measurement bandwidth,NOTE
,"5, 10, 15, 20",,
2620-2645,-15.5,5MHz,1
2645-2690,-40,1MHz,1
Note 1:The E-UTRA carrier with channel bandwidth is confined within 2570 MHz and 2615 MHz,,,
