Para-meter,Unit,Meas BWNOTE 1,Limit,,remark,Applicable Frequencies
General,dB,BW of 1 RB (180KHz rectangular),,,The reference value is the average power per allocated RB in the allocated component carrier,Any RB in the non allocated component carrier.The frequency raster of the RBs is derived when this component carrier is allocated with RBs
IQ Image,dB,BW of 1 RB (180KHz rectangular),-25NOTE 2,,The reference value is the average power per allocated RB in the allocated component carrier,The frequencies of the contiguous non-allocated RBs are unknown.The frequency raster of the RBs is derived when this component carrier is allocated with RBs
Carrier leakage,dBc,BW of 1 RB (180KHz rectangular),NOTE 3,,The reference value is the total power of the allocated RBs in the allocated component carrier,The frequencies of the up to 2 non-allocated RBs are unknown.The frequency raster of the RBs is derived when this component carrier is allocated with RBs
,,,-25,Output power > 0 dBm,,
,,,-20,-30 dBm ≤ Output power ≤ 0 dBm,,
,,,-10,-40 dBm  Output power < -30 dBm,,
"NOTE1:Resolution BWs smaller than the measurement BW may be integrated to achieve the measurement bandwidth.NOTE 2:Exceptions to the general limit is are allowed for up to +1 RBs within a contiguous width of +1 non-allocated RBs.NOTE 3:Two Exceptions to the general limit are allowed for up to two contiguous non-allocated RBsNOTE 4:NOTES 1, 5, 6, 7, 8, 9 from Table 6.5.2A.3.1-1 apply for Table 6.5.2A.3.1-2 as well.NOTE 5: for measured non-allocated RB in the non allocated component carrier may take non-integer values when the carrier spacing between the CCs is not a multiple of RB.NOTE 6:For V2X intra-band contiguous multi-carrier operation the in-band emission requirement (General, IQ Image or Carrier leakage) of each channel is calculated separately as Pgeneral, PSSCH,c(i), PIQ, PSSCH,c(i), PLO, PSSCH,c(i), Pgeneral, PSCCH,c(i), PIQ, PSCCH,c(i), PLO, PSCCH,c(i) for each carrier respectively.  In-band emissions combined limit for the aggregated bandwidth is evaluated in each non-allocated RB. For each such RB, the minimum requirement is calculated as the PsumIBE.CA, where PsumIBE.CA is the linear sum of Pgeneral, PSSCH,c(i), PIQ, PSSCH,c(i), PLO, PSSCH,c(i), Pgeneral, PSCCH,c(i), PIQ, PSCCH,c(i), PLO, PSCCH,c(i) for all carriers.",,,,,,
