E-UTRA band,Rx Parameter,Units,Channel bandwidth,,,,,
,,,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz
46,ACS,dB,,,,33,,27
49,ACS,dB,,,,33,,33
