Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
Frequency range,2620,-,2645,-15.5,5,"1, 2, 3"
Frequency range,2645,-,2690,-40,1,"1, 3"
"NOTE 1:The requirement also applies for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1 and Table 6.6.3.1A-1 from the edge of the channel bandwidth.NOTE 2:For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.NOTE 3:This requirement is applicable for carriers with aggregated channel bandwidths confined in 2570-2615 MHz.",,,,,,
