Frequency band(MHz),Channel bandwidth / Spectrum emission limit (dBm),MBW
,"5, 10, 15, 20 MHz",
3400 ≤ f ≤ 3800,"-23 (NOTE 1, NOTE 3)",5 MHz
,-40 (NOTE 2),1 MHz
"NOTE 1:This requirement applies within an offset between 5 MHz and 25 MHz from the lower and from the upper edge of the channel bandwidth, whenever these frequencies overlap with the specified frequency band.NOTE 2:This requirement applies from 3400 MHz to 25 MHz below the lower E-UTRA channel edge and from 25 MHz above the upper E-UTRA channel edge to 3800 MHz.NOTE 3:This emission limit might imply risk of harmful interference to UE(s) operating in the protected operating band",,
