Frequency band(MHz),Channel bandwidth /Spectrum emission limit(dBm),Measurement bandwidth
,"1.4 MHz, 3 MHz, 5 MHz, 10 MHz, 15 MHz",
851 ≤ f ≤ 859,-53,6.25 kHz
NOTE 1:The emissions measurement shall be sufficiently power averaged to ensure a standard deviation < 0.5 dB.,,
