Frequency band(MHz),Channel bandwidth / Spectrum emission limit (dBm),Measurement bandwidth,NOTE
,"3, 5, 10 MHz",,
470 ≤ f ≤ 710,-26.2,6 MHz,1
NOTE 1:Applicable when the assigned E-UTRA carrier is confined within 718 MHz and 748 MHz and when the channel bandwidth used is 5 or 10 MHz. Applicable when the assigned E-UTRA carrier is confined within 715 MHz and 718 MHz and when the channel bandwidth used is 3 MHz.,,,
