"Channel Bandwidth, MHz","Carrier Centre Frequency, Fc, MHz",A-MPR
20+5 / 5 + 20,FL + BWCA/2 ≤ FC < FL + 3*BWCA/2 - 10 MHz FH - 3*BWCA/2 + 10 MHz ≤ FC ≤ FH - BWCA/2,Edge
,FL + 3*BWCA/2 - 10 MHz ≤ FC < FH - 3*BWCA/2 + 10 MHz,Center
20+10 / 10 + 20,FL + BWCA/2 ≤ FC < FL + 3*BWCA/2 - 10 MHz FH - 3*BWCA/2 + 10 MHz ≤ FC ≤ FH - BWCA/2,Edge
,FL + 3*BWCA/2 - 10 MHz ≤FC < FH - 3*BWCA/2 + 10 MHz,Center
20+15 / 15 + 20,FL + BWCA/2 ≤ FC< FL + 3*BWCA/2 - 10 MHz FH - 3*BWCA/2 + 10 MHz ≤ FC ≤ FH - BWCA/2,Edge
,FL + 3*BWCA/2 - 10 MHz ≤FC < FH - 3*BWCA/2 + 10 MHz,Center
20+20,FL + BWCA/2 ≤ FC < FL + 3*BWCA/2 - 10 MHz FH - 3*BWCA/2 + 10 MHz ≤ FC ≤ FH - BWCA/2,Edge
,FL + 3*BWCA/2 - 10 MHz ≤FC < FH - 3*BWCA/2 + 10 MHz,Center
"NOTE:FL = 3550 MHz, FH = 3700 MHz and BWCA is the combined bandwidth of the contiguous CCs in the CA combination indicated.",,
