Rx Parameter,Units,Channel bandwidth,,,,,
,,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz
Power in Transmission Bandwidth Configuration,dBm,-252,,,,,
,,-273,,,,,
,,-274,,,,,
"NOTE 1:The transmitter shall be set to 4dB below PCMAX_L at the minimum uplink configuration specified in Table 7.3.1-2 with PCMAX_L as defined in subclause 6.2.5.NOTE 2:Reference measurement channel is Annex A.3.2: 64QAM, R=3/4 variant with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1.NOTE 3:Reference measurement channel is Annex A.3.2: 256QAM, R=4/5 variant with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1.NOTE 4:Reference measurement channel is Annex A.3.2: 1024QAM, R=4/5 variant with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1.",,,,,,,
