Frequency band,Channel bandwidth / Spectrum emission limit (dBm),Measurement bandwidth
,"5, 10, 15, 20 MHz",
2490.5 MHz ≤ f < 2495 MHz,-13,1 MHz
9 kHz < f < 2490.5 MHz,-25,1 MHz
