V2X multi-carrier configuration,Parameter,Unit,Case 1,Case 2
,PInterferer,dBm,-44,-44
,FInterferer(offset),MHz,"=-Foffset– FIoffset,case 1&=+Foffset + FIoffset,case 1","≤-Foffset– FIoffset,case 2&≥+Foffset + FIoffset,case 2"
"V2X_47B, V2X_47C, V2X_47C1",FInterferer (Range),MHz,(NOTE 2),FDL_low – 30toFDL_high + 30
"NOTE 1:For certain bands, the unwanted modulated interfering signal may not fall inside the UE receive band, but within the first 30 MHz below or above the UE receive bandNOTE 2:For each carrier frequency the requirement is valid for two frequencies:a. the carrier frequency -Foffset - FIoffset, case 1 andb. the carrier frequency +Foffset + FIoffset, case 1NOTE 3:Foffset is the frequency offset from the center frequency of the CC being tested to the edge of aggregated channel bandwidth.NOTE 4:The Finterferer (offset) is the frequency separation of the center frequency of the carrier closest to the interferer and the center frequency of the interferer and shall be further adjusted to MHz to be offset from the sub-carrier raster.NOTE 5:The requirement is applied for multi-carrier intra-band concurrent receptions when 2 carrier transmissions are activated at the same time.",,,,
