Frequency band,Measurementbandwidth,Maximum level,NOTE
30MHz  f < 1GHz,100 kHz,-57 dBm,
1GHz  f  12.75 GHz,1 MHz,-47 dBm,
12.75 GHz  f  26 GHz,1 MHz,-47 dBm,3
NOTE 1:Unused PDCCH resources are padded with resource element groups with power level given by PDCCH_RA/RB as defined in Annex C.3.1.NOTE 2:The requirements apply when the UE is configured for carrier aggregation but is not transmitting.NOTE 3:Applies only for Band 46,,,
