,V2X Bandwidth Class,,,,,,
Rx parameter,Units,A,B,C/ C1,D,E,F
Receiver image rejection,dB,,30,30,,,
NOTE 1:The requirement is applied for multi-carrier intra-band concurrent receptions when 2 carrier transmissions are activated at the same time.,,,,,,,
