ΔfOOB(MHz),25RB+25RB(9.8MHz),15RB+50RB(12.85 MHz),25RB+50RB(14.95 MHz),25RB+75RB(19.8MHz),50RB+50RB(19.9 MHz),Measurement bandwidth
0-1,-18,-19,-20,-21,-21,30 kHz
1-5,-10,-10,-10,-10,-10,1 MHz
5-9.8,-13,-13,-13,-13,-13,1 MHz
9.8-12.85,-25,-13,-13,-13,-13,1 MHz
12.85-14.8,-25,-25,-13,-13,-13,1 MHz
14.8-14.95,,-25,-13,-13,-13,1 MHz
14.95-17.85,,-25,-25,-13,-13,1 MHz
17.85-19.80,,,-25,-13,-13,1 MHz
19.80-19.90,,,-25,-25,-13,1 MHz
19.90-19.95,,,-25,-25,-25,1 MHz
19.95-24.80,,,,-25,-25,1 MHz
24.80-24.90,,,,,-25,1 MHz
