CA configuration,Aggregated channel bandwidth (PCC+SCC),Wgap / [MHz],UL PCC allocation,UL SCC allocation,ΔR2UL_PCC(dB),ΔR2UL_SCC(dB),Duplex mode
CA_4A-4A,NOTE 2,NOTE 3,NOTE 4,NOTE 5,0.0,0.0,FDD
NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 2:All combinations of channel bandwidths defined in Table 5.6A.1-3.NOTE 3:All applicable sub-block gap sizes.NOTE 4:The PCC allocation is same as Transmission bandwidth configuration NRB as defined in Table 5.6-1.NOTE 5:The SCC allocation is same as Transmission bandwidth configuration NRB as defined in Table 5.6-1.,,,,,,,
