CA configuration / CC combination / NRB_agg / Duplex mode,,,,
Uplink CA configuration,CC combination,Number of uplink resource blocks per CC,,
,,PCC,SCC,SCC
CA_40D,75RB+75RB+75RB100RB+75RB+75RB100RB+100RB+50RB100RB+100RB+75RB100RB+100RB+100RB,NOTE 6,,
CA_41D,75RB+75RB+75RB100RB+75RB+75RB100RB+100RB+50RB100RB+100RB+75RB100RB+100RB+100RB,NOTE 6,,
"NOTE 1:The carrier centre frequency of SCC in the UL operating band is configured closer to the DL operating band.NOTE 2:The transmitted power over both PCC and SCC shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 3:The UL resource blocks in both PCC and SCC shall be confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).NOTE 4:The UL resource blocks in PCC shall be located as close as possible to the downlink operating band, while the UL resource blocks in SCC shall be located as far as possible from the downlink operating band.NOTE 5:In case a CA configuration consists of CC channel bandwidths which are unequal in bandwidth the PCC channel bandwidth shall be the larger one for reference sensitivity test.NOTE 6:All uplink CCs are fully allocated",,,,
