Channel Bandwidth [MHz],Parameters,,,,,,,,,,
5,Fc [MHz],Fc > [1987.5],,,,,,,,,
,RBstart,0 - 24,,,,,,,,,
,LCRB [RBs],0 - 24,,,,,,,,,
,A-MPR [dB],≤ 10,,,,,,,,,
10,Fc [MHz],1975 < Fc ≤ 1985,,,,,,,1985<Fc≤1995,,Fc>1995
,RBstart,0 - 1,2 - 14,,15 - 26,36 - 49,,,0 - 49,,0 - 49
,LCRB [RBs],> 10,≥ 35,,N/A,≤ 2,,> 11,0 - 49,,0 - 49
,RBend,N/A,N/A,,> 48,N/A,,N/A,N/A,,N/A
,A-MPR [dB],≤ 2,≤ 2,,1,≤ 3,,≤ 1,≤ 9,,≤ 17
15,Fc [MHz],1972.5 < Fc ≤ 1987.5,,,,,,,,Fc > 1987.5,
,RBstart,0 - 11,,,,,12 - 74,,,0 - 74,
,LCRB [RBs],≤ 45,,> 45,,,> 3,,,0 - 74,
,RBend,N/A,,N/A,,,≥ 45,,,N/A,
,A-MPR [dB],≤ 2,,≤ 8,,,≤ 7,,,≤ 17,
20,Fc [MHz],Fc > 1970,,,,,,,,,
,RBstart,0 - 99,,,,,,,,,
,LCRB [RBs],0 - 99,,,,,,,,,
,A-MPR [dB],≤ 17,,,,,,,,,
