E-UTRA CA Band,E-UTRA Band (Table 5.5-1)
CA_1-3-7-8-20-28,"1, 3, 7, 8, 20, 28"
CA_1-3-7-20-28-38,"1, 3, 7, 20, 28, 38"
CA_1-7-8-20-28-32,"1, 7, 8, 20, 28, 32"
