Parameter,Unit,Level
PInterferer(CW),dBm,-44
FInterferer,MHz,Spurious response frequencies
NOTE 1:The requirement is applied for multi-carrier intra-band concurrent receptions when 2 carrier transmissions are activated at the same time.,,
