Spectrum emission limit [dBm]/BWChannel_CA,,,,,,,
ΔfOOB,50RB+75RB+100RB,75RB+75RB+75RB,50RB+100RB+100 RB,75RB+75RB+100RB,75RB+100RB+100RB,100RB+100RB+100 RB,Measurement bandwidth
(MHz),(44.6MHz),(45MHz),(49.7MHz),(49.85MHz),(54.65MHz),(59.6MHz),
 0-1,-22,-22,-22.5,-22.5,-23.5,-24,30 kHz
 1-5,-10,-10,-10,-10,-10,-10,1 MHz
 5-44.6,-13,-13,-13,-13,-13,-13,1 MHz
 44.6-45,-25,-13,-13,-13,-13,-13,1 MHz
 45-49.6,-25,-25,-13,-13,-13,-13,1 MHz
 49.6-49.7,,-25,-13,-13,-13,-13,1 MHz
 49.7-49.85,,-25,-25,-13,-13,-13,1 MHz
 49.85-50,,-25,-25,-25,-13,-13,1 MHz
 50-54.65,,,-25,-25,-13,-13,1 MHz
 54.65-54.7,,,-25,-25,-25,-13,1 MHz
 54.7-54.85,,,,-25,-25,-13,1 MHz
 54.85-59.6,,,,,-25,-13,1 MHz
 59.6-59.65,,,,,-25,-25,1 MHz
 59.65-64.6,,,,,,-25,1 MHz
