Power step P [dB],NPRACH [dB]
ΔP = 0,±1.5
ΔP = 2,±2.0
ΔP = 4,±3.5
ΔP = 6,±4.0
NOTE:For extreme conditions an additional ± 2.0 dB relaxation is allowed.,
