Spectrum emission limit (dBm)/ Channel bandwidth,,,,,,,
ΔfOOB(MHz),1.4MHz,3.0MHz,5MHz,10MHz,15MHz,20MHz,Measurement bandwidth
0-1,-10,-13,-15,-18,-20,-21,30 kHz
1-2.5,-10,-10,-10,-10,-10,-10,1 MHz
2.5-2.8,-25,-10,-10,-10,-10,-10,1 MHz
2.8-5,,-10,-10,-10,-10,-10,1 MHz
5-6,,-25,-13,-13,-13,-13,1 MHz
6-10,,,-25,-13,-13,-13,1 MHz
10-15,,,,-25,-13,-13,1 MHz
15-20,,,,,-25,-13,1 MHz
20-25,,,,,,-25,1 MHz
