TPC command,UL channel,Aggregate power tolerance within 21 ms 2
0 dB,PUCCH,±2.5 dB
0 dB,PUSCH,±3.5 dB
"NOTE 1:The UE transmission gap is 4 ms for full-duplex FDD and TDD.For UE of half-duplex FDD with the channel bandwidth 5 MHz / 10 MHz / 15 MHz / 20 MHz, the transmission gap is 1 ms after subframe #4 and 7 ms after subframe #6.For UE of half-duplex FDD with the CBW 1.4 / 3 MHz, the transmission gap is 9 ms.TPC command is transmitted via MPDCCH 4 subframes preceding each PUCCH/PUSCH transmission.NOTE 2:For UE of half-duplex FDD with the CBW 1.4 / 3 MHz, the test interval is 41 ms.",,
