Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
E-UTRA band 34,FDL_low,-,FDL_high,-50,1,
Frequency range,1884.5,-,1915.7,-41,0.3,1
NOTE 1:Applicable when the aggregated channel bandwidth is confined within frequency range 1940 – 1980 MHz,,,,,,
