E-UTRA Band,Parameter,Unit,Case 1,Case 2
,PInterferer,dBm,-50,-44
,FInterferer(offset),MHz,"=-Foffset– FIoffset,case 1&=+Foffset + FIoffset,case 1","≤-Foffset– FIoffset,case 2&≥+Foffset + FIoffset,case 2"
46,FInterferer (Range),MHz,(Note 2),FDL_low – 60toFDL_high + 60
"NOTE 1:For certain bands, the unwanted modulated interfering signal may not fall inside the UE receive band, but within the first 15 MHz below or above the UE receive bandNOTE 2:For each carrier frequency the requirement is valid for two frequencies:a. the carrier frequency -Foffset - FIoffset, case 1 andb. the carrier frequency +Foffset + FIoffset, case 1NOTE 3:Foffset is the frequency offset from the center frequency of the CC being tested to the edge of aggregated channel bandwidth.NOTE 4:The Finterferer (offset) is the frequency separation of the center frequency of the carrier closest to the interferer and the center frequency of the interferer and shall be further adjusted to MHz to be offset from the sub-carrier raster.",,,,
