Rx Parameter,Units,V2X Bandwidth Class,,,,
,,B,C/ C1,D,E,F
"Pw in Transmission Bandwidth Configuration, per CC",dBm,REFSENS + V2X Bandwidth Class specific value below,,,,
,,9,9,,,
NOTE 1:The requirement is applied for multi-carrier intra-band concurrent receptions when 2 carrier transmissions are activated at the same time.,,,,,,
