Operating Band,Uplink (UL) operating bandBS receiveUE transmit,,,Downlink (DL) operating bandBS transmit UE receive,,,Duplex Mode
,FUL_low   –  FUL_high,,,FDL_low  –  FDL_high,,,
107,,N/A,,612 MHz,–,652 MHz,SDO
108,,N/A,,470 MHz,–,698 MHz,SDO
112,,N/A,,470 MHz,-,608 MHz,SDO
113,,N/A,,606 MHz,-,698 MHz,SDO
