Modulation,CA bandwidth Class C / Smallest Component Carrier Transmission Bandwidth Configuration,,,,MPR (dB)
,25 RB,50 RB,75 RB,100 RB,
QPSK,> 6 and ≤ 25,> 6 and ≤ 50,> 6 and ≤ 75,> 6 and ≤ 100,≤ 1
QPSK,> 25,> 50,> 75,> 100,≤ 2
16 QAM,≤ 6,≤ 8,≤ 16,≤ 18,≤ 1.5
16 QAM,> 6 and ≤ 25,> 8 and ≤ 50,> 16 and ≤ 75,> 18 and ≤ 100,≤ 2
16 QAM,> 25,> 50,> 75,> 100,≤ 3
64 QAM,≤ 8 and allocation wholly contained within a single CC,≤ 12 and allocation wholly contained within a single CC,≤ 16 and allocation wholly contained within a single CC,≤ 18 and allocation wholly contained within a single CC,≤ 2
64 QAM,> 8 or allocation extends across two CC's,> 12 or allocation extends across two CC's,> 16 or allocation extends across two CC's,> 18 or allocation extends across two CC's,≤ 3
256 QAM,≥ 1,,,,≤ 6
