Channel bandwidth [MHz],Parameters,Region A,
10,RBstart,0,
,LCRB [RBs],≤5,=50
,A-MPR [dB],≤3,≤1
15,RBstart,≤8,
,LCRB [RBs],≤16,≥50
,A-MPR [dB],≤3,≤1
