Frequency band(MHz),Channel bandwidth /Spectrum emission limit(dBm),Measurement bandwidth
,"5 MHz, 10 MHz and 15 MHz",
470 ≤ f ≤ 694,-42,8MHz
"NOTE:For a 5 MHz E-UTRA carrier confined within 698MHz and 703MHz, this requirement shall be met in normal conditions only. The requirement is relaxed to -30dBm in extreme conditions.",,
