BW [MHz],5,,,,10,
"(NBindex,RBstart)","(0,<6)","(0,<6)","(3,<6)","(3,<6)","(0,<6)","(7,<6)"
LCRB,>4 and <7,>1 and ≤4,>4 and <7,>1 and ≤4,>2and <7,>2and <7
AMPR [dB],2,1,2,1,1,1
NOTE 1:NBindex is the narrowband index that is defined in 6.2.7 in [4]. The resource block assignment is defined within the narrowband as defined in 5.3.3.1.12 and 5.3.3.1.13 in [5].,,,,,,
