Parameter,Unit,Range 1,Range 2,Range 3
Pwanted,dBm,Table 7.6.2.1-1 for component carriers in bands with j ≤ K and Table 7.6.1.1A-0a for component carriers in bands with j > K,,
Pinterferer,dBm,"-44 + RIB,c","-30 + RIB,c","-15 + RIB,c(NOTE 5)"
Finterferer(CW),MHz,-60 < f – FDL_Low(j) < -15with j ≤ Kor15 < f – FDL_High(j) < 60with j ≤ K,-856 < f – FDL_Low(j) ≤ -60or60 ≤ f – FDL_High(j) < 856,1 ≤ f ≤ FDL_Low(j) – 856orFDL_High(j) + 856 ≤ f≤ 12750
"NOTE 1:FDL_Low(j) and FDL_High(j), j = 1,…,K,…N, denote the respective lower and upper frequency limits of the (non-overlapping) operating bands of the CA configuration numbered in increasing order of frequency, with N the number of bands in the band combination and K the number of bands with FDL_High ≤ 3800 MHz for Band 46 and FDL_High ≤ 2700 MHz for Band 49.NOTE 2:For FDL_Low(j) – 15 MHz ≤ f ≤ FDL_High(j) + 15 MHz the appropriate adjacent channel selectivity and in-band blocking requirements in the respective subclauses 7.5.1A and 7.6.1.1A shall be applied for carrier j ≤ K .NOTE 3:For FDL_Low(j) – 60 MHz ≤ f ≤ FDL_High(j) + 60 MHz the appropriate adjacent channel selectivity and in-band blocking requirements in the respective subclauses 7.5.1A and 7.6.1.1A shall be applied for carrier K < j ≤ N.NOTE 4:RIB,c according to Table 7.3.1-1A applies when serving cell c is measured.NOTE 5:The power level (PInterferer) for Range 3 is modified to -20 dBm for FInterferer > 4400 MHz except for band combinations with Band 42 or Band 43 for which PInterferer for Range 3 is modified to -20 dBm for FInterferer > 2800 MHz.NOTE 6:The -85 MHz and 85 MHz offset from FDL_Low(j) and FDL_High(j) is modified to -200 MHz and 200 MHz for carrier j in Band 46.",,,,
