Frequency band(MHz),Channel bandwidth / Spectrum emission limit (dBm),MBW
,"5, 10, 15, 20 MHz",
3400 ≤ f ≤ 3800,"-23 (NOTE 1, NOTE 4)",5 MHz
,-40 (NOTE 2),1 MHz
"NOTE 1:This requirement applies within an offset between 5 MHz + Foffset_NS_23 and 25 MHz + Foffset_NS_23 from the lower and from the upper edges of the channel bandwidth, whenever these frequencies overlap with the specified frequency band.NOTE 2:This requirement applies from 3400 MHz to 25 MHz  + Foffset_NS_23 below the lower E-UTRA channel edge and from 25 MHz +  Foffset_NS_23 above the upper E-UTRA channel edge to 3800 MHz.NOTE 3:Foffset_NS_23 is:0 MHz for 5 MHz channel BW,5 MHz for 10 MHz channel BW,9 MHz for 15 MHz channel BW and12 MHz for 20 MHz channel BW.NOTE 4:This emission limit might imply risk of harmful interference to UE(s) operating in the protected operating band",,
