CA configuration,Parameter,Unit,Case 1,Case 2
,PInterferer,dBm,-56,-44
,FInterferer(offset),MHz,"=-Foffset– FIoffset,case 1&=+Foffset + FIoffset,case 1","≤-Foffset– FIoffset,case 2&≥+Foffset + FIoffset,case 2"
"CA_1C, CA_2C, CA_3B, CA_3C, CA_5B, CA_7B, CA_7C, CA_8B, CA_12B, CA_23B, CA_27B, CA_28C, CA_38C, CA_39C, CA_40C, CA_40D, CA_40E, CA_40F, CA_41C, CA_41D, CA_41E, CA_41F, CA_42C, CA_42D, CA_42E, CA_42F, CA_43C, CA_48B, CA_48C, CA_48D, CA_48E, CA_48F, CA_66B, CA_66C, CA_66D, CA_70C",FInterferer (Range),MHz,(NOTE 2),FDL_low – 15toFDL_high + 15
"NOTE 1:For certain bands, the unwanted modulated interfering signal may not fall inside the UE receive band, but within the first 15 MHz below or above the UE receive bandNOTE 2:For each carrier frequency the requirement is valid for two frequencies:a. the carrier frequency -Foffset - FIoffset, case 1 andb. the carrier frequency +Foffset + FIoffset, case 1NOTE 3:Foffset is the frequency offset from the center frequency of the CC being tested to the edge of aggregated channel bandwidth.NOTE 4:The Finterferer (offset) is the frequency separation of the center frequency of the carrier closest to the interferer and the center frequency of the interferer and shall be further adjusted to MHz to be offset from the sub-carrier raster.",,,,
