Frequency band(MHz),Channel bandwidth /Spectrum emission limit(dBm),Measurement bandwidth
,"5 MHz, 10 MHz, 15 MHz, 20 MHz",
Band 34,-50,MHz
"NOTE 1:This requirement applies at a frequency offset equal or larger than 5 MHz from the upper edge of the channel bandwidth, whenever these frequencies overlap with the specified frequency band.",,
