Rx parameter,Units,V2X Bandwidth Class,,,,
,,B,C/ C1,D,E,F
"Pw in Transmission Bandwidth Configuration, per CC",dBm,REFSENS + V2X Bandwidth Class specific value below,,,,
,,9,12,,,
PInterferer 1(CW),dBm,-46,,,,
PInterferer 2(Modulated),dBm,-46,,,,
BWInterferer 2,MHz,10,10,,,
FInterferer 1(Offset),MHz,–Foffset-15/+ Foffset+15,–Foffset-15/+ Foffset+15,,,
FInterferer 2(Offset),MHz,2*FInterferer 1,,,,
NOTE 1:The requirement is applied for multi-carrier intra-band concurrent receptions when 2 carrier transmissions are activated at the same time.,,,,,,
