Modulation,QPSK,16-QAM
MPR for 3 Tones allocation,≤ 0.5 dB,≤ 1.7 dB
MPR for 6 Tones allocation,≤ 1 dB,≤ 1.6 dB
MPR for 12 Tones allocation,≤ 1.5 dB,≤ 2.6 dB
