Parameter,Unit,Range 1,Range 2,Range 3
Pw,dBm,Table 7.6.2.1-1 for all component carriers,,
Pinterferer,dBm,"-44 + RIB,c","-30 + RIB,c","-15 + RIB,c"
Finterferer(CW),MHz,-60 < f – FDL_Low(j) < -15or15 < f – FDL_High(j) < 60,-85 < f – FDL_Low(j) ≤ -60or60 ≤ f – FDL_High(j) < 85,1 ≤ f ≤ FDL_Low(1) – 85orFDL_High(j) + 85 ≤ f≤ FDL_Low(j+1) – 85 withj < XorFDL_High(X) + 85 ≤ f≤ 12750
"NOTE 1:FDL_Low(j) and FDL_High(j) denote the respective lower and upper frequency limits of the operating band containing carrier j, j = 1,…,X, with carriers numbered in increasing order of carrier frequency and X the number of component carriers in the band combination.NOTE 2:For FDL_Low(j+1) – FDL_High(j) < 145 MHz and FInterferer in FDL_High(j) < f < FDL_Low(j+1) with j < X, FInterferer can be in both Range 1 and Range 2. Then the lower of the PInterferer applies.NOTE 3:For FDL_Low(j) – 15 MHz ≤ f ≤ FDL_High(j) + 15 MHz the appropriate adjacent channel selectivity and in-band blocking requirments in the respective subclauses 7.5.1A and 7.6.1.1A shall be applied for carrier j.NOTE 4:RIB,c according to Table 7.3.1-1A applies when serving cell c is measured.NOTE 5:For inter-band CA combinations containing Bands 42, 43, or 48, the interferer with respect to Band 42, Band 43, or Band 48 shall have power level (PInterferer) for Range 3 modified to -20 + RIB,c dBm for FInterferer > 2800 MHz and FInterferer < 4400 MHz.NOTE 6:For inter-band CA combinations containing Bands 7 and 38 simultaneously, for FInterferer  Bands 7 and 38 are considered as one single band as follows: FDL_Low = 2570 MHz and FDL_High = 2690 MHz. For Range 2, the following applies for FDL_Low: -95 < f – FDL_Low ≤ -60 or 60 ≤ f – FDL_High < 85 . For Range 3 the following applies 1 ≤ f ≤ FDL_Low  -95 or FDL_High + 85 ≤ f ≤ 12750. For UEs supporting both bands 38 and 41, FDL_Low = 2496 MHz.NOTE 7:For CA_20A-28A, CA_1A-3A-7A-20A-28A, CA_1A-3A-20A-28A, CA_1A-3A-3A-20A-28A, CA_1A-7A-20A-28A, CA_1A-20A-28A, CA_3A-7A-20A-28A, CA_3A-20A-28A and CA_7A-20A-28A the FDL_low(1)  is given by the lower limit of the restricted operating frequency range in Band 28 and FDL_high(2)  by Band 20 (Table 5.5A-2).NOTE 8:For inter-band CA combinations including DL in band 76, the FDL_high of band 75 is applied as FDL_high for band 76.NOTE 9:For CA band combinations including DL in band 32, FDL_high of band 75 is applied as FDL_high for band 32, and  FDL_low of band 76 is applied as FDL_low for band 32.",,,,
