E-UTRA Band,Rx Parameter,Units,CA Bandwidth Class,,,,
,,,B,C,D,E,F
46,"Pw in Transmission Bandwidth Configuration, per CC",dBm,REFSENS + CA Bandwidth Class specific value below,,,,
,,,,12,13.8,15,
,BWInterferer,MHz,,20,20,20,
,"FIoffset, case 1",MHz,,30,30,30,
,"FIoffset, case 2",MHz,,50,50,50,
"NOTE 1: In a band capable of uplink operation, the transmitter shall be set to 4dB below PCMAX_L,c or PCMAX_L as defined in subclause 6.2.5ANOTE 2:The interferer consists of the Reference measurement channel specified in Annex A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD/FS3 as described in Annex A.5.1.1/A.5.2.1/A.5.4.1 and set-up according to Annex C.3.1",,,,,,,
