CA_38C,RBend,LCRB [RBs],"A-MPR for QPSK, 16 QAM, 64 QAM and 256 QAM [dB]"
100RB/100RB,0 – 12,>0,≤ 5 dB
,13 – 79,> RBend – 13,≤ 2 dB
,80 – 180,>60,≤ 6 dB
,181 – 199,> 0,≤ 11 dB
75RB/75RB,0 – 70,"> max (0, RBend -10)",≤ 2 dB
,71- 108,> 60,≤ 5 dB
,109 – 139,>0,≤ 5 dB
,140 – 149,≤ 70,≤ 2 dB
,140 – 149,>70,≤ 6 dB
"NOTE 1:RBend indicates the highest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping which intersects regions, notes 1 and 2 apply on a per slot basis. For intra-slot or intra-subslot frequency hopping which intersects regions, notes 1 and 2 apply on a per Tno_hopping basis.NOTE 4:For intra-subframe frequency hopping which intersects regions, the larger A-MPR value may be applied for both slots in the subframe. For intra-slot frequency hopping which intersects regions, the larger A-MPR value may be applied for the slot. For intra-subslot frequency hopping which intersects regions, the larger A-MPR value may be applied for the subslot.",,,
